InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalVenta,Category_product_catalog,Supplier_product_catalog,ProductRating_product_catalog,AvailableStock_inventory_source,Warehouse_inventory_source,Region_country_info,TaxRate_country_info,ShippingDays_shipping,ShippingCost_shipping,Segment_customer_segments,LoyaltyLevel_customer_segments,DiscountPct_promotions,PromotionName_promotions
536368,22913,RED COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,14.85,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536368,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-01 08:34:00,4.95,13047,United Kingdom,14.85,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536368,22960,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00,4.25,13047,United Kingdom,25.5,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536369,21756,BATH BUILDING BLOCK WORD,3,2010-12-01 08:35:00,5.95,13047,United Kingdom,17.85,,,,,,Europa,0.2,3,5.50,Recurrente,Plata,,
536370,10002,INFLATABLE POLITICAL GLOBE,48,2010-12-01 08:45:00,0.85,12583,France,40.8,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,21035,SET/2 RED RETROSPOT TEA TOWELS,18,2010-12-01 08:45:00,2.95,12583,France,53.1,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,2010-12-01 08:45:00,0.85,12583,France,10.2,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2010-12-01 08:45:00,1.65,12583,France,39.6,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,21791,VINTAGE HEADS AND TAILS CARD GAME,24,2010-12-01 08:45:00,1.25,12583,France,30.0,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,21883,STARS GIFT TAPE,24,2010-12-01 08:45:00,0.65,12583,France,15.6,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,2010-12-01 08:45:00,3.75,12583,France,45.0,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND,24,2010-12-01 08:45:00,2.95,12583,France,70.80000000000001,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22492,MINI PAINT SET VINTAGE,36,2010-12-01 08:45:00,0.65,12583,France,23.4,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22540,MINI JIGSAW CIRCUS PARADE,24,2010-12-01 08:45:00,0.42,12583,France,10.08,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22544,MINI JIGSAW SPACEBOY,24,2010-12-01 08:45:00,0.42,12583,France,10.08,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22629,SPACEBOY LUNCH BOX,24,2010-12-01 08:45:00,1.95,12583,France,46.8,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22631,CIRCUS PARADE LUNCH BOX,24,2010-12-01 08:45:00,1.95,12583,France,46.8,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22659,LUNCH BOX I LOVE LONDON,24,2010-12-01 08:45:00,1.95,12583,France,46.8,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2010-12-01 08:45:00,0.85,12583,France,17.0,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-01 08:45:00,3.75,12583,France,45.0,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22727,ALARM CLOCK BAKELIKE RED,24,2010-12-01 08:45:00,3.75,12583,France,90.0,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22728,ALARM CLOCK BAKELIKE PINK,24,2010-12-01 08:45:00,3.75,12583,France,90.0,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,22900,SET 2 TEA TOWELS I LOVE LONDON,24,2010-12-01 08:45:00,2.95,12583,France,70.80000000000001,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536370,POST,POSTAGE,3,2010-12-01 08:45:00,18.0,12583,France,54.0,,,,,,Europa,0.2,5,8.00,Ocasional,Bronce,,
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS,80,2010-12-01 09:00:00,2.55,13748,United Kingdom,204.0,,,,,,Europa,0.2,3,5.50,,,,
536372,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 09:01:00,1.85,17850,United Kingdom,11.1,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536372,22633,HAND WARMER UNION JACK,6,2010-12-01 09:01:00,1.85,17850,United Kingdom,11.1,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536373,20679,EDWARDIAN PARASOL RED,6,2010-12-01 09:02:00,4.95,17850,United Kingdom,29.700000000000003,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536373,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,6.36,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536373,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,6.36,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536373,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:02:00,4.25,17850,United Kingdom,25.5,Decoracion,Casa Norte,4.6,420.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.1,Temporada hogar
536373,21871,SAVE THE PLANET MUG,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,6.36,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536373,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 09:02:00,7.65,17850,United Kingdom,15.3,Regalos,Mundo Hogar,4.4,185.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.15,Regalos de temporada
536373,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:02:00,1.06,17850,United Kingdom,6.36,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536373,71053,WHITE METAL LANTERN,6,2010-12-01 09:02:00,3.39,17850,United Kingdom,20.34,Iluminacion,Luz Viva,4.2,260.0,MED-02,Europa,0.2,3,5.50,Frecuente,Oro,0.05,Iluminacion diciembre
536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:02:00,2.1,17850,United Kingdom,12.6,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:02:00,4.95,17850,United Kingdom,9.9,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:02:00,6.95,17850,United Kingdom,27.8,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536373,82494L,WOODEN FRAME ANTIQUE WHITE,6,2010-12-01 09:02:00,2.55,17850,United Kingdom,15.3,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536373,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 09:02:00,3.39,17850,United Kingdom,20.34,Textil,Hogar Calido,4.7,95.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.12,Invierno calido
536373,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 09:02:00,3.39,17850,United Kingdom,20.34,Textil,Hogar Calido,4.5,120.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.12,Invierno calido
536373,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:02:00,2.75,17850,United Kingdom,22.0,Organizacion,Mundo Hogar,4.1,310.0,MED-02,Europa,0.2,3,5.50,Frecuente,Oro,0.08,Organiza tu hogar
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:02:00,2.55,17850,United Kingdom,15.3,Iluminacion,Luz Viva,4.8,500.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.1,Temporada hogar
536374,21258,VICTORIAN SEWING BOX LARGE,32,2010-12-01 09:09:00,10.95,15100,United Kingdom,350.4,,,,,,Europa,0.2,3,5.50,,,,
536375,20679,EDWARDIAN PARASOL RED,6,2010-12-01 09:32:00,4.95,17850,United Kingdom,29.700000000000003,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,6.36,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536375,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,6.36,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536375,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:32:00,4.25,17850,United Kingdom,25.5,Decoracion,Casa Norte,4.6,420.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.1,Temporada hogar
536375,21871,SAVE THE PLANET MUG,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,6.36,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536375,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 09:32:00,7.65,17850,United Kingdom,15.3,Regalos,Mundo Hogar,4.4,185.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.15,Regalos de temporada
536375,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:32:00,1.06,17850,United Kingdom,6.36,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536375,71053,WHITE METAL LANTERN,6,2010-12-01 09:32:00,3.39,17850,United Kingdom,20.34,Iluminacion,Luz Viva,4.2,260.0,MED-02,Europa,0.2,3,5.50,Frecuente,Oro,0.05,Iluminacion diciembre
536375,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:32:00,2.1,17850,United Kingdom,12.6,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:32:00,4.95,17850,United Kingdom,9.9,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:32:00,6.95,17850,United Kingdom,27.8,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536375,82494L,WOODEN FRAME ANTIQUE WHITE,6,2010-12-01 09:32:00,2.55,17850,United Kingdom,15.3,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536375,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 09:32:00,3.39,17850,United Kingdom,20.34,Textil,Hogar Calido,4.7,95.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.12,Invierno calido
536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 09:32:00,3.39,17850,United Kingdom,20.34,Textil,Hogar Calido,4.5,120.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.12,Invierno calido
536375,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:32:00,2.75,17850,United Kingdom,22.0,Organizacion,Mundo Hogar,4.1,310.0,MED-02,Europa,0.2,3,5.50,Frecuente,Oro,0.08,Organiza tu hogar
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:32:00,2.55,17850,United Kingdom,15.3,Iluminacion,Luz Viva,4.8,500.0,BOG-01,Europa,0.2,3,5.50,Frecuente,Oro,0.1,Temporada hogar
536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,2010-12-01 09:32:00,2.55,15291,United Kingdom,163.2,,,,,,Europa,0.2,3,5.50,,,,
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,2010-12-01 09:32:00,3.45,15291,United Kingdom,165.60000000000002,,,,,,Europa,0.2,3,5.50,,,,
536377,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 09:34:00,1.85,17850,United Kingdom,11.1,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536377,22633,HAND WARMER UNION JACK,6,2010-12-01 09:34:00,1.85,17850,United Kingdom,11.1,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,20723,STRAWBERRY CHARLOTTE BAG,10,2010-12-01 09:37:00,0.85,14688,United Kingdom,8.5,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,20725,LUNCH BAG RED RETROSPOT,10,2010-12-01 09:37:00,1.65,14688,United Kingdom,16.5,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,2010-12-01 09:37:00,2.95,14688,United Kingdom,29.5,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,21094,SET/6 RED SPOTTY PAPER PLATES,12,2010-12-01 09:37:00,0.85,14688,United Kingdom,10.2,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 09:37:00,0.42,14688,United Kingdom,50.4,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-01 09:37:00,2.55,14688,United Kingdom,15.3,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,21931,JUMBO STORAGE BAG SUKI,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2010-12-01 09:37:00,0.55,14688,United Kingdom,13.2,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 09:37:00,0.55,14688,United Kingdom,13.2,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,22352,LUNCH BOX WITH CUTLERY RETROSPOT,6,2010-12-01 09:37:00,2.55,14688,United Kingdom,15.3,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,22386,JUMBO BAG PINK POLKADOT,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,84519A,TOMATO CHARLIE+LOLA COASTER SET,6,2010-12-01 09:37:00,2.95,14688,United Kingdom,17.700000000000003,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
536378,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 09:37:00,0.55,14688,United Kingdom,13.2,,,,,,Europa,0.2,3,5.50,Frecuente,Oro,,
